"Step","race_SAC_dino_transformer - return_train","race_SAC_dino_transformer - return_train__MIN","race_SAC_dino_transformer - return_train__MAX","race_SAC_dino_bigger - return_train","race_SAC_dino_bigger - return_train__MIN","race_SAC_dino_bigger - return_train__MAX","race_SAC_dino - return_train","race_SAC_dino - return_train__MIN","race_SAC_dino - return_train__MAX","SAC_power_source_impoola_color - return_train","SAC_power_source_impoola_color - return_train__MIN","SAC_power_source_impoola_color - return_train__MAX","race_SAC - return_train","race_SAC - return_train__MIN","race_SAC - return_train__MAX"
"109","0.0899999812","0.0899999812","0.0899999812","1.6724990606","1.6724990606","1.6724990606","0.5199998617","0.5199998617","0.5199998617","2.2299981117","2.2299981117","2.2299981117","12.4000072479","12.4000072479","12.4000072479"
"110","0.230000034","0.230000034","0.230000034","","","","0.5199998617","0.5199998617","0.5199998617","1.8999991417","1.8999991417","1.8999991417","","",""
"111","0.230000034","0.230000034","0.230000034","","","","0.6099997163","0.6099997163","0.6099997163","2.7399981022","2.7399981022","2.7399981022","12.3400125504","12.3400125504","12.3400125504"
"112","0.2599999905","0.2599999905","0.2599999905","1.9672986269","1.9672986269","1.9672986269","0.6099997163","0.6099997163","0.6099997163","2.0499989986","2.0499989986","2.0499989986","12.3400125504","12.3400125504","12.3400125504"
"113","0.2599999905","0.2599999905","0.2599999905","","","","0.0599999987","0.0599999987","0.0599999987","1.949999094","1.949999094","1.949999094","","",""
"114","0.2999999523","0.2999999523","0.2999999523","2.0299985409","2.0299985409","2.0299985409","0.0599999987","0.0599999987","0.0599999987","1.9099992514","1.9099992514","1.9099992514","12.8300123215","12.8300123215","12.8300123215"
"115","0.2999999523","0.2999999523","0.2999999523","","","","0.0599999987","0.0599999987","0.0599999987","1.699999094","1.699999094","1.699999094","","",""
"116","0.2400000393","0.2400000393","0.2400000393","1.8399995565","1.8399995565","1.8399995565","0","0","0","1.8599988222","1.8599988222","1.8599988222","13.6800279617","13.6800279617","13.6800279617"
"117","0.2400000393","0.2400000393","0.2400000393","1.8606494665","1.8606494665","1.8606494665","0","0","0","1.7499988079","1.7499988079","1.7499988079","13.6800279617","13.6800279617","13.6800279617"
"118","0.2400000393","0.2400000393","0.2400000393","1.9099992514","1.9099992514","1.9099992514","0.0500000007","0.0500000007","0.0500000007","2.1199989319","2.1199989319","2.1199989319","12.6200122833","12.6200122833","12.6200122833"
"119","1.3399990797","1.3399990797","1.3399990797","","","","0.0500000007","0.0500000007","0.0500000007","1.7899991274","1.7899991274","1.7899991274","","",""
"120","0","0","0","","","","0.0500000007","0.0500000007","0.0500000007","2.1599993706","2.1599993706","2.1599993706","","",""
"121","0","0","0","1.6478990316","1.6478990316","1.6478990316","0.0500000007","0.0500000007","0.0500000007","2.2299990654","2.2299990654","2.2299990654","14.6700134277","14.6700134277","14.6700134277"
"122","0.1099999994","0.1099999994","0.1099999994","","","","0","0","0","2.3399987221","2.3399987221","2.3399987221","","",""
"123","0.1099999994","0.1099999994","0.1099999994","1.5899994373","1.5899994373","1.5899994373","0","0","0","2.7499985695","2.7499985695","2.7499985695","4.4900050163","4.4900050163","4.4900050163"
"124","0.1299999803","0.1299999803","0.1299999803","","","","0.4899998009","0.4899998009","0.4899998009","1.8499985933","1.8499985933","1.8499985933","","",""
"125","0.1299999803","0.1299999803","0.1299999803","2.3499984741","2.3499984741","2.3499984741","0.4899998009","0.4899998009","0.4899998009","1.919998765","1.919998765","1.919998765","12.5600118637","12.5600118637","12.5600118637"
"126","0","0","0","","","","0.1699999869","0.1699999869","0.1699999869","1.9399987459","1.9399987459","1.9399987459","","",""
"127","0","0","0","1.8167489767","1.8167489767","1.8167489767","0.1699999869","0.1699999869","0.1699999869","2.1399989128","2.1399989128","2.1399989128","12.3500070572","12.3500070572","12.3500070572"
"128","0","0","0","1.5599991083","1.5599991083","1.5599991083","0","0","0","1.9099992514","1.9099992514","1.9099992514","12.3400144577","12.3400144577","12.3400144577"
"129","1.169999361","1.169999361","1.169999361","","","","0","0","0","1.9799989462","1.9799989462","1.9799989462","","",""
"130","1.169999361","1.169999361","1.169999361","","","","0","0","0","2.1899988651","2.1899988651","2.1899988651","","",""
"131","1.169999361","1.169999361","1.169999361","","","","0","0","0","2.4699988365","2.4699988365","2.4699988365","","",""
"132","1.669998765","1.669998765","1.669998765","","","","0.25","0.25","0.25","2.0799987316","2.0799987316","2.0799987316","","",""
"133","1.669998765","1.669998765","1.669998765","","","","0.25","0.25","0.25","4.1699991226","4.1699991226","4.1699991226","","",""
"134","0.0699999928","0.0699999928","0.0699999928","","","","0.0799999908","0.0799999908","0.0799999908","1.8499985933","1.8499985933","1.8499985933","12.3500003815","12.3500003815","12.3500003815"
"135","0.0699999928","0.0699999928","0.0699999928","1.9999984503","1.9999984503","1.9999984503","0.0799999908","0.0799999908","0.0799999908","2.5899984837","2.5899984837","2.5899984837","12.3400020599","12.3400020599","12.3400020599"
"136","0.5300000906","0.5300000906","0.5300000906","1.5320490599","1.5320490599","1.5320490599","0.0500000007","0.0500000007","0.0500000007","2.3399987221","2.3399987221","2.3399987221","12.3400039673","12.3400039673","12.3400039673"
"137","0.5300000906","0.5300000906","0.5300000906","","","","0.0500000007","0.0500000007","0.0500000007","5.2599983215","5.2599983215","5.2599983215","","",""
"138","0.5300000906","0.5300000906","0.5300000906","1.8185485601","1.8185485601","1.8185485601","0.0699999928","0.0699999928","0.0699999928","2.0799984932","2.0799984932","2.0799984932","13.0599985123","13.0599985123","13.0599985123"
"139","0.5300000906","0.5300000906","0.5300000906","1.8399984837","1.8399984837","1.8399984837","0.0699999928","0.0699999928","0.0699999928","1.949999094","1.949999094","1.949999094","12.3700122833","12.3700122833","12.3700122833"
"140","1.2999992371","1.2999992371","1.2999992371","","","","0","0","0","2.1199989319","2.1199989319","2.1199989319","","",""
"141","1.2999992371","1.2999992371","1.2999992371","","","","0.1700000316","0.1700000316","0.1700000316","4.3099985123","4.3099985123","4.3099985123","","",""
